DIRECT_INFO_L 0 10122 0 5.377074
DIRECT_INFO_R 0 9969 0 5.295973
MODE: Multi
Time Resolution : 640000
Volume Resolution : 1000000
100Hz
L 14018 887 7.446863
L 14019 887 7.447677
L 14021 886 7.448499
L 14022 886 7.449326
L 14024 885 7.450160
L 14025 885 7.451001
L 14027 884 7.451847
L 14029 884 7.452701
L 14030 883 7.453559
L 14032 883 7.454425
L 14033 882 7.455296
L 14035 3861 7.456043
L 14037 881 7.457058
L 14038 881 7.457950
L 14040 881 7.458845
L 14042 880 7.459748
L 14044 880 7.460657
L 14045 879 7.461571
L 14047 879 7.462491
L 14049 878 7.463418
L 14051 878 7.464349
L 14052 878 7.465289
L 14054 877 7.466233
L 14056 877 7.467183
L 14058 876 7.468140
L 14059 876 7.469101
L 14061 875 7.470069
L 14063 875 7.471043
L 14065 875 7.472022
L 14067 874 7.473008
L 14069 874 7.473999
L 14071 873 7.474996
L 14072 873 7.475999
L 14074 872 7.477006
L 14076 872 7.478021
L 14078 872 7.479041
L 14080 871 7.480066
L 14082 871 7.481097
L 14084 870 7.482133
L 14086 870 7.483175
L 14088 870 7.484223
L 14090 869 7.485276
L 14091 3002 7.486088
L 14092 869 7.486335
L 14094 868 7.487399
L 14096 868 7.488469
L 14098 868 7.489545
L 14100 867 7.490625
L 14102 867 7.491712
L 14104 866 7.492804
L 14106 866 7.493900
L 14108 866 7.495003
L 14110 865 7.496111
L 14112 865 7.497224
L 14115 864 7.498343
L 14117 864 7.499468
L 14119 864 7.500597
L 14121 863 7.501732
L 14123 863 7.502872
L 14125 863 7.504017
L 14127 862 7.505168
L 14130 862 7.506324
L 14132 861 7.507485
L 14134 861 7.508651
L 14136 861 7.509823
L 14138 860 7.511001
L 14141 860 7.512183
L 14143 860 7.513370
L 14145 859 7.514563
L 14147 859 7.515759
L 14150 858 7.516963
L 14152 858 7.518172
L 14154 858 7.519384
L 14156 857 7.520603
L 14159 857 7.521826
L 14161 857 7.523054
L 14163 856 7.524288
L 14166 856 7.525526
L 14168 856 7.526769
L 14170 855 7.528018
L 14172 3033 7.528844
L 14173 855 7.529273
L 14175 855 7.530530
L 14177 854 7.531794
L 14180 854 7.533063
L 14182 854 7.534337
L 14185 853 7.535617
L 14187 853 7.536899
L 14190 852 7.538188
L 14192 852 7.539483
L 14193 3041 7.540010
L 14194 852 7.540781
L 14197 851 7.542085
L 14199 851 7.543393
L 14202 851 7.544706
L 14204 850 7.546024
L 14207 850 7.547348
L 14209 850 7.548676
L 14212 849 7.550010
L 14214 3899 7.551361
L 14217 849 7.552690
L 14219 848 7.554038
L 14222 848 7.555391
L 14224 848 7.556748
L 14227 848 7.558110
L 14230 847 7.559478
L 14232 847 7.560850
L 14235 847 7.562225
L 14236 3057 7.562942
L 14237 846 7.563607
L 14240 846 7.564995
L 14243 846 7.566386
L 14245 845 7.567781
L 14248 845 7.569182
L 14251 845 7.570588
L 14253 844 7.571998
L 14256 844 7.573413
L 14258 3066 7.574716
L 14259 844 7.574833
L 14261 843 7.576258
L 14264 843 7.577687
L 14267 843 7.579121
L 14269 843 7.580560
L 14272 842 7.582004
L 14275 842 7.583452
L 14277 842 7.584905
L 14280 841 7.586362
L 14281 3074 7.586702
L 14283 841 7.587825
L 14286 841 7.589293
L 14288 840 7.590764
L 14291 840 7.592241
L 14294 840 7.593721
L 14297 840 7.595207
L 14300 839 7.596698
L 14302 839 7.598194
L 14304 3082 7.598906
L 14305 839 7.599694
L 14308 838 7.601197
L 14311 838 7.602708
L 14314 838 7.604221
L 14317 837 7.605741
L 14320 837 7.607264
L 14322 837 7.608791
L 14325 837 7.610324
L 14328 836 7.611860
L 14331 836 7.613404
L 14334 836 7.614950
L 14337 836 7.616502
L 14340 835 7.618057
L 14343 835 7.619617
L 14346 835 7.621183
L 14349 834 7.622752
L 14352 834 7.624327
L 14355 834 7.625905
L 14358 834 7.627490
L 14361 833 7.629078
L 14364 833 7.630671
L 14367 833 7.632268
L 14370 832 7.633869
L 14373 832 7.635477
L 14376 832 7.637088
L 14379 832 7.638704
L 14382 831 7.640324
L 14385 831 7.641950
L 14388 831 7.643579
L 14391 831 7.645213
L 14394 830 7.646853
L 14397 830 7.648497
L 14400 3945 7.650060
L 14403 830 7.651797
L 14406 829 7.653453
L 14410 829 7.655116
L 14413 829 7.656783
L 14416 829 7.658454
L 14419 828 7.660128
L 14422 828 7.661809
L 14425 3951 7.663414
L 14429 828 7.665184
L 14432 827 7.666878
L 14435 827 7.668576
L 14438 827 7.670280
L 14441 827 7.671988
L 14444 2200 7.673350
L 14445 826 7.673700
L 14448 826 7.675417
L 14451 826 7.677138
L 14454 826 7.678865
L 14458 825 7.680596
L 14461 825 7.682332
L 14464 825 7.684072
L 14465 2207 7.684568
L 14467 825 7.685816
L 14471 824 7.687565
L 14474 824 7.689319
L 14477 3964 7.690936
L 14481 824 7.692841
L 14484 823 7.694609
L 14486 2214 7.695845
L 14487 823 7.696381
L 14491 823 7.698158
L 14494 823 7.699939
L 14497 822 7.701725
L 14501 822 7.703516
L 14504 822 7.705311
L 14508 3042 7.707145
L 14511 822 7.708916
L 14514 821 7.710725
L 14518 821 7.712538
L 14521 821 7.714356
L 14525 821 7.716180
L 14528 820 7.718008
L 14529 2227 7.718574
L 14530 3157 7.719287
L 14531 820 7.719840
L 14535 820 7.721677
L 14538 820 7.723517
L 14542 819 7.725365
L 14545 819 7.727214
L 14549 819 7.729071
L 14551 2233 7.730025
L 14552 819 7.730931
L 14556 819 7.732796
L 14559 818 7.734665
L 14563 818 7.736539
L 14566 818 7.738417
L 14570 818 7.740301
L 14572 2240 7.741538
L 14574 818 7.742190
